"Temperature","Chill_response","Heat_response","species","cultivar","fit","n_cal"
30.9,0,0.0863818407269727,"Almond","Achaak","single","scarce"
31,0,0.0830747783181425,"Almond","Achaak","single","scarce"
31.1,0,0.0798295172005167,"Almond","Achaak","single","scarce"
31.2,0,0.076646276106575,"Almond","Achaak","single","scarce"
31.3,0,0.0735252695886117,"Almond","Achaak","single","scarce"
31.4,0,0.0704667080042742,"Almond","Achaak","single","scarce"
31.5,0,0.0674707975023856,"Almond","Achaak","single","scarce"
31.6,0,0.0645377400090493,"Almond","Achaak","single","scarce"
31.7,0,0.06166773321404,"Almond","Achaak","single","scarce"
31.8,0,0.0588609705574782,"Almond","Achaak","single","scarce"
31.9,0,0.0561176412167937,"Almond","Achaak","single","scarce"
32,0,0.053437930093973,"Almond","Achaak","single","scarce"
32.1,0,0.0508220178030987,"Almond","Achaak","single","scarce"
32.2,0,0.0482700806581748,"Almond","Achaak","single","scarce"
32.3,0,0.0457822906612435,"Almond","Achaak","single","scarce"
32.4,0,0.0433588154907921,"Almond","Achaak","single","scarce"
32.5,0,0.0409998184904509,"Almond","Achaak","single","scarce"
32.6,0,0.0387054586579847,"Almond","Achaak","single","scarce"
32.7,0,0.0364758906345756,"Almond","Achaak","single","scarce"
32.8,0,0.0343112646943999,"Almond","Achaak","single","scarce"
32.9,0,0.0322117267345009,"Almond","Achaak","single","scarce"
33,0,0.0301774182649528,"Almond","Achaak","single","scarce"
33.1,0,0.0282084763993252,"Almond","Achaak","single","scarce"
33.2,0,0.026305033845441,"Almond","Achaak","single","scarce"
33.3,0,0.024467218896431,"Almond","Achaak","single","scarce"
33.4,0,0.0226951554220874,"Almond","Achaak","single","scarce"
33.5,0,0.0209889628605157,"Almond","Achaak","single","scarce"
33.6,0,0.0193487562100824,"Almond","Achaak","single","scarce"
33.7,0,0.0177746460216663,"Almond","Achaak","single","scarce"
33.8,0,0.0162667383912063,"Almond","Achaak","single","scarce"
33.9,0,0.0148251349525502,"Almond","Achaak","single","scarce"
34,0,0.0134499328706051,"Almond","Achaak","single","scarce"
34.1,0,0.0121412248347882,"Almond","Achaak","single","scarce"
34.2,0,0.0108990990527791,"Almond","Achaak","single","scarce"
34.3,0,0.00972363924457542,"Almond","Achaak","single","scarce"
34.4,0,0.00861492463684932,"Almond","Achaak","single","scarce"
34.5,0,0.00757302995760767,"Almond","Achaak","single","scarce"
34.6,0,0.00659802543115529,"Almond","Achaak","single","scarce"
34.7,0,0.00568997677336258,"Almond","Achaak","single","scarce"
34.8,0,0.004848945187235,"Almond","Achaak","single","scarce"
34.9,0,0.00407498735878864,"Almond","Achaak","single","scarce"
35,0,0.00336815545322988,"Almond","Achaak","single","scarce"
35.1,0,0.0027284971114383,"Almond","Achaak","single","scarce"
35.2,0,0.00215605544675712,"Almond","Achaak","single","scarce"
35.3,0,0.00165086904208589,"Almond","Achaak","single","scarce"
35.4,0,0.00121297194728121,"Almond","Achaak","single","scarce"
35.5,0,0.000842393676860898,"Almond","Achaak","single","scarce"
35.6,0,0.000539159208015061,"Almond","Achaak","single","scarce"
35.7,0,0.000303288978922622,"Almond","Achaak","single","scarce"
35.8,0,0.000134798887373777,"Almond","Achaak","single","scarce"
35.9,0,3.37002896981797e-05,"Almond","Achaak","single","scarce"
36,0,0,"Almond","Achaak","single","scarce"
36.1,0,0,"Almond","Achaak","single","scarce"
36.2,0,0,"Almond","Achaak","single","scarce"
36.3,0,0,"Almond","Achaak","single","scarce"
36.4,0,0,"Almond","Achaak","single","scarce"
36.5,0,0,"Almond","Achaak","single","scarce"
36.6,0,0,"Almond","Achaak","single","scarce"
36.7,0,0,"Almond","Achaak","single","scarce"
36.8,0,0,"Almond","Achaak","single","scarce"
36.9,0,0,"Almond","Achaak","single","scarce"
37,0,0,"Almond","Achaak","single","scarce"
37.1,0,0,"Almond","Achaak","single","scarce"
37.2,0,0,"Almond","Achaak","single","scarce"
37.3,0,0,"Almond","Achaak","single","scarce"
37.4,0,0,"Almond","Achaak","single","scarce"
37.5,0,0,"Almond","Achaak","single","scarce"
37.6,0,0,"Almond","Achaak","single","scarce"
37.7,0,0,"Almond","Achaak","single","scarce"
37.8,0,0,"Almond","Achaak","single","scarce"
37.9,0,0,"Almond","Achaak","single","scarce"
38,0,0,"Almond","Achaak","single","scarce"
38.1,0,0,"Almond","Achaak","single","scarce"
38.2,0,0,"Almond","Achaak","single","scarce"
38.3,0,0,"Almond","Achaak","single","scarce"
38.4,0,0,"Almond","Achaak","single","scarce"
38.5,0,0,"Almond","Achaak","single","scarce"
38.6,0,0,"Almond","Achaak","single","scarce"
38.7,0,0,"Almond","Achaak","single","scarce"
38.8,0,0,"Almond","Achaak","single","scarce"
